,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1,23/08/2014,Almeria,Espanol,1,1,D
2,23/08/2014,Granada,La Coruna,2,1,H
3,23/08/2014,Malaga,Ath Bilbao,1,0,H
4,23/08/2014,Sevilla,Valencia,1,1,D
5,24/08/2014,Barcelona,Elche,3,0,H
6,24/08/2014,Celta,Getafe,3,1,H
7,24/08/2014,Eibar,Sociedad,1,0,H
8,24/08/2014,Levante,Villarreal,0,2,A
9,25/08/2014,Real Madrid,Cordoba,2,0,H
10,25/08/2014,Vallecano,Ath Madrid,0,0,D
11,29/08/2014,Getafe,Almeria,1,0,H
12,29/08/2014,Valencia,Malaga,3,0,H
13,30/08/2014,Ath Bilbao,Levante,3,0,H
14,30/08/2014,Ath Madrid,Eibar,2,1,H
15,30/08/2014,Cordoba,Celta,1,1,D
16,30/08/2014,Espanol,Sevilla,1,2,A
17,31/08/2014,Elche,Granada,1,1,D
18,31/08/2014,La Coruna,Vallecano,2,2,D
19,31/08/2014,Sociedad,Real Madrid,4,2,H
20,31/08/2014,Villarreal,Barcelona,0,1,A
21,12/09/2014,Almeria,Cordoba,1,1,D
22,13/09/2014,Barcelona,Ath Bilbao,2,0,H
23,13/09/2014,Celta,Sociedad,2,2,D
24,13/09/2014,Malaga,Levante,0,0,D
25,13/09/2014,Real Madrid,Ath Madrid,1,2,A
26,14/09/2014,Granada,Villarreal,0,0,D
27,14/09/2014,Sevilla,Getafe,2,0,H
28,14/09/2014,Valencia,Espanol,3,1,H
29,14/09/2014,Vallecano,Elche,2,3,A
30,15/09/2014,Eibar,La Coruna,0,1,A
31,19/09/2014,Elche,Eibar,0,2,A
32,20/09/2014,Ath Bilbao,Granada,0,1,A
33,20/09/2014,Ath Madrid,Celta,2,2,D
34,20/09/2014,Espanol,Malaga,2,2,D
35,20/09/2014,La Coruna,Real Madrid,2,8,A
36,21/09/2014,Cordoba,Sevilla,1,3,A
37,21/09/2014,Levante,Barcelona,0,5,A
38,21/09/2014,Sociedad,Almeria,1,2,A
39,21/09/2014,Villarreal,Vallecano,4,2,H
40,22/09/2014,Getafe,Valencia,0,3,A
41,23/09/2014,Celta,La Coruna,2,1,H
42,23/09/2014,Real Madrid,Elche,5,1,H
43,24/09/2014,Almeria,Ath Madrid,0,1,A
44,24/09/2014,Eibar,Villarreal,1,1,D
45,24/09/2014,Granada,Levante,0,1,A
46,24/09/2014,Malaga,Barcelona,0,0,D
47,24/09/2014,Sevilla,Sociedad,1,0,H
48,24/09/2014,Vallecano,Ath Bilbao,2,1,H
49,25/09/2014,Espanol,Getafe,2,0,H
50,25/09/2014,Valencia,Cordoba,3,0,H
51,26/09/2014,Elche,Celta,0,1,A
52,27/09/2014,Ath Bilbao,Eibar,0,0,D
53,27/09/2014,Ath Madrid,Sevilla,4,0,H
54,27/09/2014,Barcelona,Granada,6,0,H
55,27/09/2014,Levante,Vallecano,0,2,A
56,27/09/2014,Villarreal,Real Madrid,0,2,A
57,28/09/2014,Cordoba,Espanol,0,0,D
58,28/09/2014,Getafe,Malaga,1,0,H
59,28/09/2014,La Coruna,Almeria,0,1,A
60,28/09/2014,Sociedad,Valencia,1,1,D
61,03/10/2014,Getafe,Cordoba,1,1,D
62,04/10/2014,Almeria,Elche,2,2,D
63,04/10/2014,Eibar,Levante,3,3,D
64,04/10/2014,Malaga,Granada,2,1,H
65,04/10/2014,Valencia,Ath Madrid,3,1,H
66,04/10/2014,Vallecano,Barcelona,0,2,A
67,05/10/2014,Celta,Villarreal,1,3,A
68,05/10/2014,Espanol,Sociedad,2,0,H
69,05/10/2014,Real Madrid,Ath Bilbao,5,0,H
70,05/10/2014,Sevilla,La Coruna,4,1,H
71,17/10/2014,Granada,Vallecano,0,1,A
72,18/10/2014,Ath Bilbao,Celta,1,1,D
73,18/10/2014,Barcelona,Eibar,3,0,H
74,18/10/2014,Cordoba,Malaga,1,2,A
75,18/10/2014,Levante,Real Madrid,0,5,A
76,19/10/2014,Ath Madrid,Espanol,2,0,H
77,19/10/2014,Elche,Sevilla,0,2,A
78,19/10/2014,La Coruna,Valencia,3,0,H
79,19/10/2014,Villarreal,Almeria,2,0,H
80,20/10/2014,Sociedad,Getafe,1,2,A
81,24/10/2014,Celta,Levante,3,0,H
82,25/10/2014,Almeria,Ath Bilbao,0,1,A
83,25/10/2014,Cordoba,Sociedad,1,1,D
84,25/10/2014,Eibar,Granada,1,1,D
85,25/10/2014,Real Madrid,Barcelona,3,1,H
86,25/10/2014,Valencia,Elche,3,1,H
87,26/10/2014,Espanol,La Coruna,0,0,D
88,26/10/2014,Getafe,Ath Madrid,0,1,A
89,26/10/2014,Malaga,Vallecano,4,0,H
90,26/10/2014,Sevilla,Villarreal,2,1,H
91,31/10/2014,La Coruna,Getafe,1,2,A
92,01/11/2014,Ath Madrid,Cordoba,4,2,H
93,01/11/2014,Barcelona,Celta,0,1,A
94,01/11/2014,Granada,Real Madrid,0,4,A
95,01/11/2014,Sociedad,Malaga,0,1,A
96,02/11/2014,Ath Bilbao,Sevilla,1,0,H
97,02/11/2014,Elche,Espanol,2,1,H
98,02/11/2014,Levante,Almeria,2,1,H
99,02/11/2014,Villarreal,Valencia,1,3,A
100,03/11/2014,Vallecano,Eibar,2,3,A
101,07/11/2014,Cordoba,La Coruna,0,0,D
102,08/11/2014,Almeria,Barcelona,1,2,A
103,08/11/2014,Celta,Granada,0,0,D
104,08/11/2014,Getafe,Elche,0,0,D
105,08/11/2014,Malaga,Eibar,2,1,H
106,08/11/2014,Real Madrid,Vallecano,5,1,H
107,09/11/2014,Espanol,Villarreal,1,1,D
108,09/11/2014,Sevilla,Levante,1,1,D
109,09/11/2014,Sociedad,Ath Madrid,2,1,H
110,09/11/2014,Valencia,Ath Bilbao,0,0,D
111,21/11/2014,Ath Bilbao,Espanol,3,1,H
112,22/11/2014,Ath Madrid,Malaga,3,1,H
113,22/11/2014,Barcelona,Sevilla,5,1,H
114,22/11/2014,Eibar,Real Madrid,0,4,A
115,22/11/2014,La Coruna,Sociedad,0,0,D
116,23/11/2014,Elche,Cordoba,2,2,D
117,23/11/2014,Levante,Valencia,2,1,H
118,23/11/2014,Vallecano,Celta,1,0,H
119,23/11/2014,Villarreal,Getafe,2,1,H
120,24/11/2014,Granada,Almeria,0,0,D
121,28/11/2014,Sociedad,Elche,3,0,H
122,29/11/2014,Celta,Eibar,0,1,A
123,29/11/2014,Espanol,Levante,2,1,H
124,29/11/2014,Getafe,Ath Bilbao,1,2,A
125,29/11/2014,Malaga,Real Madrid,1,2,A
126,30/11/2014,Ath Madrid,La Coruna,2,0,H
127,30/11/2014,Cordoba,Villarreal,0,2,A
128,30/11/2014,Sevilla,Granada,5,1,H
129,30/11/2014,Valencia,Barcelona,0,1,A
130,01/12/2014,Almeria,Vallecano,0,1,A
131,06/12/2014,Ath Bilbao,Cordoba,0,1,A
132,06/12/2014,Elche,Ath Madrid,0,2,A
133,06/12/2014,La Coruna,Malaga,0,1,A
134,06/12/2014,Real Madrid,Celta,3,0,H
135,07/12/2014,Barcelona,Espanol,5,1,H
136,07/12/2014,Granada,Valencia,1,1,D
137,07/12/2014,Vallecano,Sevilla,0,1,A
138,07/12/2014,Villarreal,Sociedad,4,0,H
139,08/12/2014,Eibar,Almeria,5,2,H
140,08/12/2014,Levante,Getafe,1,1,D
141,12/12/2014,Almeria,Real Madrid,1,4,A
142,13/12/2014,Cordoba,Levante,0,0,D
